run_id,gain,psf_sigma_x,psf_sigma_y,psf_theta,enf,optical_bg_lipid,lipid_brightness,spot_density
repeat_000,20.029969245676174,1.876478587614221,2.2846345222829525,-13.0390326884758,2.345015270340255,1.9045515699284588,14821.821827432808,568.9662136071134
repeat_001,19.081147360541976,2.3711016248311947,1.8870552846038233,-31.64430376482686,1.6276304675461715,1.961772446646059,14295.09966944801,651.2069725593473
repeat_002,30.624252750178524,2.067376051707916,2.55100554025021,-18.85909952995399,1.9214650814825653,1.1780070999917056,17125.673481180318,528.8023614709746
repeat_003,27.839788563423813,1.8011148824268501,2.6719380547204006,-15.457209738422186,1.6044894281385875,1.1832033463078189,16222.84106492215,593.5986605231116
repeat_004,16.87369420952082,1.6940796950800048,2.4523074610040547,41.55991885591715,2.3392610520802477,1.435672255612596,12475.283675242137,683.0680470991836
repeat_005,17.77670474652841,1.7356937586177112,2.3604608351435665,-34.558932687284575,2.0909092738672133,1.5018761832275207,12757.064795078935,731.0267490515953
repeat_006,45.650393632365464,2.3733814434968066,2.079916185659939,38.3721898517594,1.428508581281985,0.8252838923088459,17480.781472643826,479.7212603807412
repeat_007,16.37446731265262,2.284524452257628,2.333424236452684,33.45066822883076,2.3246713265764285,2.1225744310673726,20517.297905101605,426.08024106989626
repeat_008,15.998115681554738,2.2825386094126268,2.137474323100504,-18.379533280255075,2.317428558072968,2.0091092728325313,14893.060533744929,632.0817584443002
repeat_009,28.906000320904084,1.9307334010448316,2.3375319929126985,35.805838784326994,1.9767546301362364,1.162937090323489,14854.387828317125,627.8350327483055
repeat_010,22.18686127367798,1.702504388477736,2.654845705036371,-21.25779803553838,2.125647485341908,1.6940544145010625,14919.689471417538,590.3220172102019
repeat_011,31.29865830328724,2.3215953352150165,1.9121628480290513,32.733762882523756,1.3078212023935143,1.1666160185789285,15770.582752148095,529.7653400702585
repeat_012,34.085103406965274,2.495125147514808,2.4297985390134116,13.930739026374228,1.3956400157121573,1.5667778482753079,22265.93731330839,397.3600289606079
