run_id,status,lipid_brightness,psf_sigma_x,psf_sigma_y,psf_theta,gain,enf,optical_bg_lipid,spot_density,training_discrepancy,validation_discrepancy,duration_sec,pid
repeat_000,ok,14821.821827432808,1.876478587614221,2.2846345222829525,-13.0390326884758,20.029969245676174,2.345015270340255,1.9045515699284588,568.9662136071134,0.15610477800936892,0.20640679510473556,,
repeat_001,ok,14295.09966944801,2.3711016248311947,1.8870552846038233,-31.64430376482686,19.081147360541976,1.6276304675461715,1.961772446646059,651.2069725593473,0.08959304783242075,0.36299988003396744,,
repeat_002,ok,17125.673481180318,2.067376051707916,2.55100554025021,-18.85909952995399,30.624252750178524,1.9214650814825653,1.1780070999917056,528.8023614709746,0.12154063106822807,0.12858410165408296,,
repeat_003,ok,16222.84106492215,1.8011148824268501,2.6719380547204006,-15.457209738422186,27.839788563423813,1.6044894281385875,1.1832033463078189,593.5986605231116,0.10437647144446345,0.254270220630067,,
repeat_004,ok,12475.283675242137,1.6940796950800048,2.4523074610040547,41.55991885591715,16.87369420952082,2.3392610520802477,1.435672255612596,683.0680470991836,0.134456831167938,0.32225230489403317,,
repeat_005,ok,12757.064795078935,1.7356937586177112,2.3604608351435665,-34.558932687284575,17.77670474652841,2.0909092738672133,1.5018761832275207,731.0267490515953,0.10527431691610886,0.26987525224521336,,
repeat_006,ok,17480.781472643826,2.3733814434968066,2.079916185659939,38.3721898517594,45.650393632365464,1.428508581281985,0.8252838923088459,479.7212603807412,0.1589453682015859,0.17542098425552816,,
repeat_007,ok,20517.297905101605,2.284524452257628,2.333424236452684,33.45066822883076,16.37446731265262,2.3246713265764285,2.1225744310673726,426.08024106989626,0.1846287238642578,0.26238735714373135,,
repeat_008,ok,14893.060533744929,2.2825386094126268,2.137474323100504,-18.379533280255075,15.998115681554738,2.317428558072968,2.0091092728325313,632.0817584443002,0.11244115906458621,0.2362128404113551,,
repeat_009,ok,14854.387828317125,1.9307334010448316,2.3375319929126985,35.805838784326994,28.906000320904084,1.9767546301362364,1.162937090323489,627.8350327483055,0.1414699115474496,0.1634383010655643,,
repeat_010,ok,14919.689471417538,1.702504388477736,2.654845705036371,-21.25779803553838,22.18686127367798,2.125647485341908,1.6940544145010625,590.3220172102019,0.12376362294298894,0.12616494181658,,
repeat_011,ok,15770.582752148095,2.3215953352150165,1.9121628480290513,32.733762882523756,31.29865830328724,1.3078212023935143,1.1666160185789285,529.7653400702585,0.13256494609166017,0.3570013941166815,,
repeat_012,ok,22265.93731330839,2.495125147514808,2.4297985390134116,13.930739026374228,34.085103406965274,1.3956400157121573,1.5667778482753079,397.3600289606079,0.1971439007841908,0.2234633256769637,,
repeat_013,ok,12262.026676461694,1.9130239647124017,2.148447312951486,-17.65101621014154,14.703359866590757,2.4515974288680296,2.2723708358400554,764.7062460526175,0.10205402443146078,0.11362012379296528,,
repeat_014,ok,17923.59575123508,2.2274795685861113,2.296100091467271,-1.4359999476121224,16.927404327241376,2.407892617716885,2.123670345262023,478.1988744551249,0.15702492509997779,0.2387513243363901,,
repeat_015,ok,10797.704547503165,1.7637573203070245,2.015396689355463,23.557187739106254,30.119292495370683,1.092425225452841,1.2717297183173835,776.8639935384792,0.08683126603931672,0.1254923010422343,,
repeat_016,ok,18392.117988466835,1.7969836558666867,2.6011415105716567,-14.003722926192303,18.24220767039434,2.2752912376850216,2.272795468060202,447.01971143111246,0.17322452326822452,0.32566156420202647,,
repeat_017,ok,18273.159660047226,2.051146956052307,2.266628901896597,22.383095067648252,24.409828633960796,1.7973707976527087,1.846849414643119,459.0769754967299,0.16679031222677387,0.2593997229512612,,
repeat_018,ok,14525.46403894505,2.2026641011950234,1.9663953349665693,-24.95662226844275,29.68378292742605,1.7110595016342607,1.154403559579904,633.9280173359526,0.12134622231316435,0.27139014200972716,,
repeat_019,ok,21099.018204328266,2.4400521176954664,2.6942829291958654,-38.07334683144695,19.30484629233334,2.3800759981238917,1.876412755396763,411.5496653360532,0.18659799941083025,0.2294045347313612,,
repeat_020,ok,13985.991531661513,1.9718627259318122,1.8853896755669501,-24.773031407574173,16.946753564239586,1.8057259876619334,2.423498669851049,710.2764401103318,0.18558133856565734,0.20074004322687886,,
repeat_021,ok,12827.49855213144,1.6482961910974685,2.3855445231614096,-18.838430400158572,17.973856748714198,2.2372892149105335,1.929234013117457,666.1348179888354,0.16747199264090618,0.20943546932135343,,
repeat_022,ok,12582.707017873916,2.1470296807464275,1.8623411488504849,-36.6491786252049,22.7278273766263,1.9316132400739838,1.609926719413684,713.9280627133231,0.12594757140444524,0.30285964915712377,,
repeat_023,ok,12313.060980564129,1.7408090479161824,2.0474238077875673,10.679412709943048,5.012102093897756,2.4105923860830316,14.887730467081687,633.0588752356389,0.3664083112433026,0.5894401746556408,,
repeat_024,ok,12599.36377079682,1.7402239479583435,2.5628944148915953,-35.24192220344557,15.907789816396578,1.795477436405078,0.891150153233015,817.772024462504,0.19640332780524802,0.24915557274576272,,
repeat_025,ok,16842.470005402756,2.3673246052763024,2.0148198052805184,13.849137196725732,21.973913244413232,1.905102750966768,1.8794437970984665,489.58674164413037,0.13986055390183236,0.2760899767848614,,
repeat_026,ok,14363.414042795162,1.8384604293421043,2.3943784428336725,-40.41210042716249,15.80843117652288,2.28098977208218,1.8447564873825193,638.1507226410498,0.11672373541024224,0.09696212246200885,,
repeat_027,ok,15988.381051916102,1.9215958158381827,2.4273960052407704,-21.549166888531353,24.701215840779373,1.491510705894802,1.9107029278320784,543.8191186032589,0.12585614493381256,0.3254937815669666,,
repeat_028,ok,12698.685328324056,1.8383668337083094,2.2021742007709912,44.46295280949956,23.145345171917075,1.9278959015814796,1.3843955457929609,761.7579955605966,0.1801522232570757,0.16003669822017513,,
repeat_029,ok,15809.16043891403,2.157673975368478,2.160247745141088,-43.33760631984559,22.172379354125713,2.2034486015357437,1.8769202802591793,506.4767510436451,0.1179976158239718,0.20672849053798198,,
repeat_030,ok,12135.866554260121,1.716425328495511,2.3170539896221465,-40.84924340440342,23.330974946054436,2.1003227216151736,1.3310878719541441,760.5124675239034,0.1519904979793363,0.3028860172345286,,
repeat_031,ok,11650.238538923311,1.7552967611416819,1.912697645693236,-39.47418185732231,30.652785308976966,1.2647173341109688,1.0462747605150777,740.2984905865098,0.10648742619913999,0.253936345089274,,
repeat_032,ok,12050.245262783186,1.6496844179334667,2.370606823453818,-39.740836003187795,44.318459304187954,1.220120206995275,0.6764509306575053,737.5046176839562,0.11195310935888139,0.3039196859221842,,
