sizing,method,bin,n_gt,recall,f1,lipid_logerr,protein_logerr,loc_err,repr_ratio,det_true_protein,missed_true_protein
emphasis,ours,40-55,67394,0.42232246194023204,0.593637757322323,0.34107380478272853,0.21098713690637458,0.41194901766785286,1.0513161644501832,1800.6306510841873,1712.7394326956633
emphasis,ours,55-70,37822,0.46586642694727937,0.635377084626492,0.1733297144461457,0.1516531081387641,0.3325768411153141,1.0206719814529837,2553.6227547649496,2501.9034529876335
emphasis,ours,70-90,30366,0.4901863926760192,0.6576266350523632,0.07885981563670642,0.10613160927693457,0.28812971140862503,1.0042196529455552,3500.691015005006,3485.9813833924236
emphasis,ours,90-120,25867,0.4980090462751769,0.6646296446829384,0.03229935787072519,0.07291255728706537,0.251321700043563,0.9967474851626976,4865.675431487903,4881.552754250176
emphasis,ours,120-160,19467,0.523501309909077,0.6869514413903146,0.010841727669565798,0.04967600864625915,0.21828999266093485,0.9841906742831422,6897.008379684194,7007.796923810305
emphasis,ours,160-220,16313,0.5386501563170477,0.6998655871041549,-0.002665138426493234,0.032758022504150316,0.1991884223054075,1.027143678999115,10037.786387750486,9772.524129761143
emphasis,ours,220-300,11331,0.5664989850851646,0.7229541228415902,-0.019815357220942516,0.023158619032491876,0.18926193968061555,1.058158480339658,14949.266689753787,14127.625462071832
emphasis,classical,40-55,67394,0.08251476392557201,0.15237840562221744,1.0670705962019786,0.7534329869167248,2.5723801222671137,1.014858249050134,1773.8844007095913,1747.9134670973751
emphasis,classical,55-70,37822,0.120855586695574,0.21550529930089918,0.6926568171952205,0.5218252570220183,1.7240214470980835,1.01136740359283,2552.9207702197414,2524.2268646889584
emphasis,classical,70-90,30366,0.19511954159257064,0.3261983257658899,0.32946118546852887,0.2887070562423599,0.6188744172723312,1.020095084800472,3550.788697700336,3480.8409045465223
emphasis,classical,90-120,25867,0.38914446978776046,0.5592972943056782,0.09915809969057363,0.1272419384033902,0.5097929514669008,1.0346923630471225,4980.451626454735,4813.461280208475
emphasis,classical,120-160,19467,0.5909487851235424,0.7411881864131288,0.023043336827160428,0.06898762763860668,0.4825936389666392,1.0284790122295484,7030.958869473128,6836.2686898504
emphasis,classical,160-220,16313,0.6618034696254521,0.7945340422766034,0.003107547340263666,0.04570827767967066,0.45638317430483,1.013039735973928,9954.714968781966,9826.578973441337
emphasis,classical,220-300,11331,0.6850233871679463,0.8110365201443456,-0.015808684307592205,0.032677652318889125,0.43669165967387774,1.016713892960672,14666.48455347151,14425.380291364652
dls,ours,40-55,3420,0.4099415204678363,0.581444270206638,0.36109066464797385,0.22287225453528364,0.40088775087639417,0.9981996136131144,2073.2541878386673,2076.993578803594
dls,ours,55-70,52305,0.4511423382085843,0.6217100713523446,0.1952138593177561,0.16086600622074368,0.3398462927461941,1.0165929601007644,2861.24447063127,2814.542873037075
dls,ours,70-90,43865,0.46588396215661687,0.6355672037965354,0.10612756445605431,0.12043369648658997,0.30488274522313985,0.9995381451186721,3649.523672247141,3651.2100014090447
dls,ours,90-120,68176,0.4773233982633185,0.646129669202184,0.049659559543457826,0.09140241099409,0.2717184913952365,0.99241004026037,4716.761386966877,4752.835214897041
dls,ours,120-160,30548,0.49256907162498365,0.659954844834559,0.009755499761946607,0.05301801496426035,0.23491598907535927,1.0032873031920302,6729.036262796397,6706.988358556406
dls,ours,160-220,11529,0.5126203486859224,0.6777134725192129,-0.004532421116787058,0.037002742406436875,0.21087337544397308,1.0071536318945526,9677.044307995267,9608.309995161135
dls,ours,220-300,3043,0.5211961879723956,0.6851657901270987,-0.0183122310355495,0.02494641483406209,0.19344937082864727,1.0391588032170311,13980.652654797675,13453.817271735876
dls,classical,40-55,3420,0.1304093567251462,0.23009016614122382,0.7813093822635507,0.5938648702761726,2.3179746219145656,0.9617644166850963,2005.4269305465573,2085.154010437028
dls,classical,55-70,52305,0.17516489819328937,0.29704487140668767,0.5414912044758228,0.45185796115741855,1.7701017144440243,0.9972075841076726,2828.7277386621163,2836.6488419693837
dls,classical,70-90,43865,0.24652912344693947,0.39366986465065107,0.350269593552716,0.3165904715516447,1.0255344753789455,0.9947118372525176,3635.7469683316185,3655.0756029745003
dls,classical,90-120,68176,0.42039720722835017,0.5877536967261302,0.14570749315449233,0.1650733783144939,0.6142553806980775,1.0143855947493072,4776.280837785122,4708.545608798319
dls,classical,120-160,30548,0.6039675265156476,0.7463239893581325,0.03738427790310646,0.08285305488520181,0.5312369795863443,1.0008618400990053,6717.92910929941,6712.14431417914
dls,classical,160-220,11529,0.6692688004163414,0.794201973084248,0.010407947153070172,0.058028584610106126,0.46924907964892004,0.987207549929384,9605.331877988414,9729.79985685431
dls,classical,220-300,3043,0.6927374301675978,0.8104937760726226,-0.006533106382981389,0.042790851139885844,0.4388308497627976,0.9952041723109564,13660.872251870744,13726.70315494049
