sample,lipid_brightness,n_detections,wasserstein_nm,ks_statistic,det_median_nm,dls_mean_nm
20nM_EGFP,4845.2744600276765,6603,15.032896850772088,0.3686203240951083,72.27418709988645,95.74769608396737
50nM_EGFP,8398.72061396728,5427,15.003918650803644,0.3423622627602727,73.92035773603104,95.74769608396737
100nM_EGFP,6408.738791150224,6414,18.624239093569386,0.3604614904895541,71.92193016592182,95.74769608396737
300nM_EGFP,5160.627934000206,5378,12.420245513628302,0.3019709929341763,82.33744909649708,95.74769608396737
25nM_endophilin,16526.973956031383,26551,50.432891482552364,0.7463372377688222,33.16429168037194,95.4575763281517
300nM_endophilin,12245.334133452257,25914,39.007154558100076,0.6501119086208227,42.01340530530422,95.4575763281517
