run_id,status,lipid_brightness,psf_sigma_x,psf_sigma_y,psf_theta,gain,enf,optical_bg_lipid,spot_density,training_discrepancy,validation_discrepancy,duration_sec,pid
equal,ok,13326.022164996004,1.9061562962836855,2.514383381735591,16.95241356944264,5.516650186183261,1.5698914660105177,5.4179495605083625,680.4760944554848,6.509465870836332,8.968976344938802,334.17,5915
up_pixel_hist,ok,13682.220441019062,2.1149376627991208,2.5587551460860203,-19.897891020326618,2.855883512091822,2.363953862741708,6.753833177592467,678.5596456070461,60.46056391731303,72.37498658573796,527.03,5912
up_psd,ok,14610.58166780822,2.2582757988918414,2.1730277644203424,-44.99091955646834,2.8508992539103057,1.9879978762105361,12.818085742812658,619.4810816437504,12.077643521122395,15.622684375310564,478.14,5911
up_quantiles,ok,12814.565179663976,2.0709348936031113,2.2563059316602807,-30.8178379934532,12.485620694976872,2.284627704556148,2.0334830612257266,716.0615536091389,4.5855623671108425,6.253978749268675,497.01,5913
up_skewness,ok,12082.384931311328,2.308615124102967,2.2597724314527707,14.619152120149138,1.865946721725667,2.2145882931018264,8.063107475821004,795.5646472157783,9.049815355369894,11.304424783205427,524.16,5914
