true,recovered,lo95,hi95,n_img,n_spots
0.5,0.6997285786103482,0.6712214778431959,0.7266519863473022,300,99600
0.75,0.8422716797182265,0.8161503803621869,0.8702515842878819,300,101855
1.0,1.043939439920307,1.0131585627944848,1.076545454428254,300,100735
1.25,1.2419228458002507,1.2148031028350543,1.2681681244910856,300,100334
1.5,1.4605929588698292,1.4324995095626332,1.4883769009650754,300,100889
1.75,1.662638211233437,1.6311807891088232,1.6936660446417862,300,101346
2.0,1.8376438152380326,1.8018936730346373,1.8716753371103902,300,101423
2.2,1.9430063075383524,1.9038049366614793,1.983967971664824,300,100465
